trace_id,time,station_id,lifecycle:transition,concept:name,org:resource,lifecycle
3-p3,2025-09-05T12:33:32.142455,station31_pass,start,station31_pass,station31_pass_PASS,station31_pass_PASS
4-p4,2025-09-05T12:33:34.469436,station11,complete,station11,station11_TRANSFER,station11_TRANSFER
5-p5,2025-09-05T12:33:35.220090,station11,assign,station11,station11_LOAD,station11_LOAD
3-p3,2025-09-05T12:33:35.474764,station31_pass,complete,station31_pass,station31_pass_TRANSFER,station31_pass_TRANSFER
1-p1,2025-09-05T12:33:37.013937,station31,assign,station31,station31_LOAD,station31_LOAD
4-p4,2025-09-05T12:33:37.171586,station21,assign,station21,station21_LOAD,station21_LOAD
5-p5,2025-09-05T12:33:38.685749,station11,start,station11,station11_PROCESS,station11_PROCESS
3-p3,2025-09-05T12:33:39.715450,station41_pass,start,station41_pass,station41_pass_PASS,station41_pass_PASS
1-p1,2025-09-05T12:33:40.339741,station31,start,station31,station31_PROCESS,station31_PROCESS
4-p4,2025-09-05T12:33:40.533393,station21,start,station21,station21_PROCESS,station21_PROCESS
3-p3,2025-09-05T12:33:43.142971,station41_pass,complete,station41_pass,station41_pass_TRANSFER,station41_pass_TRANSFER
3-p3,2025-09-05T12:33:44.638234,station51_pass,start,station51_pass,station51_pass_PASS,station51_pass_PASS
3-p3,2025-09-05T12:33:48.053987,station51_pass,complete,station51_pass,station51_pass_TRANSFER,station51_pass_TRANSFER
3-p3,2025-09-05T12:33:49.634352,station52_pass,start,station52_pass,station52_pass_PASS,station52_pass_PASS
2-p2,2025-09-05T12:33:50.292292,station22,complete,station22,station22_TRANSFER,station22_TRANSFER
3-p3,2025-09-05T12:33:53.057092,station52_pass,complete,station52_pass,station52_pass_TRANSFER,station52_pass_TRANSFER
5-p5,2025-09-05T12:33:54.571353,station11,complete,station11,station11_TRANSFER,station11_TRANSFER
6-p6,2025-09-05T12:33:55.281197,station11,assign,station11,station11_LOAD,station11_LOAD
5-p5,2025-09-05T12:33:57.762384,station21_pass,start,station21_pass,station21_pass_PASS,station21_pass_PASS
1-p1,2025-09-05T12:33:57.789846,station31,complete,station31,station31_TRANSFER,station31_TRANSFER
2-p2,2025-09-05T12:33:58.526723,station31,assign,station31,station31_LOAD,station31_LOAD
6-p6,2025-09-05T12:33:58.735260,station11,start,station11,station11_PROCESS,station11_PROCESS
1-p1,2025-09-05T12:33:59.347894,station41,assign,station41,station41_LOAD,station41_LOAD
3-p3,2025-09-05T12:34:00.373605,station61_pass,start,station61_pass,station61_pass_PASS,station61_pass_PASS
5-p5,2025-09-05T12:34:01.104045,station21_pass,complete,station21_pass,station21_pass_TRANSFER,station21_pass_TRANSFER
2-p2,2025-09-05T12:34:01.900547,station31,start,station31,station31_PROCESS,station31_PROCESS
5-p5,2025-09-05T12:34:02.749793,station22,assign,station22,station22_LOAD,station22_LOAD
1-p1,2025-09-05T12:34:02.812617,station41,start,station41,station41_PROCESS,station41_PROCESS
3-p3,2025-09-05T12:34:03.693661,station61_pass,complete,station61_pass,station61_pass_TRANSFER,station61_pass_TRANSFER
5-p5,2025-09-05T12:34:06.090823,station22,start,station22,station22_PROCESS,station22_PROCESS
3-p3,2025-09-05T12:34:07.930074,station71,assign,station71,station71_LOAD,station71_LOAD
1-p1,2025-09-05T12:34:10.780533,station51,assign,station51,station51_LOAD,station51_LOAD
3-p3,2025-09-05T12:34:11.204139,station71,start,station71,station71_PROCESS,station71_PROCESS
1-p1,2025-09-05T12:34:11.424633,station41,complete,station41,station41_TRANSFER,station41_TRANSFER
1-p1,2025-09-05T12:34:14.252081,station51,start,station51,station51_PROCESS,station51_PROCESS
6-p6,2025-09-05T12:34:14.942197,station11,complete,station11,station11_TRANSFER,station11_TRANSFER
7-p7,2025-09-05T12:34:15.697616,station11,assign,station11,station11_LOAD,station11_LOAD
3-p3,2025-09-05T12:34:17.667983,corner1,start,corner1,corner1_RETURN,corner1_RETURN
6-p6,2025-09-05T12:34:17.825078,station21_pass,start,station21_pass,station21_pass_PASS,station21_pass_PASS
3-p3,2025-09-05T12:34:18.694010,station71,complete,station71,station71_TRANSFER,station71_TRANSFER
7-p7,2025-09-05T12:34:19.091581,station11,start,station11,station11_PROCESS,station11_PROCESS
2-p2,2025-09-05T12:34:19.197124,station31,complete,station31,station31_TRANSFER,station31_TRANSFER
3-p3,2025-09-05T12:34:19.548330,corner1,complete,corner1,corner1_TRANSFER,corner1_TRANSFER
2-p2,2025-09-05T12:34:20.966621,station41,assign,station41,station41_LOAD,station41_LOAD
6-p6,2025-09-05T12:34:21.124045,station21_pass,complete,station21_pass,station21_pass_TRANSFER,station21_pass_TRANSFER
6-p6,2025-09-05T12:34:22.798282,station22_pass,start,station22_pass,station22_pass_PASS,station22_pass_PASS
2-p2,2025-09-05T12:34:24.404033,station41,start,station41,station41_PROCESS,station41_PROCESS
6-p6,2025-09-05T12:34:26.138412,station22_pass,complete,station22_pass,station22_pass_TRANSFER,station22_pass_TRANSFER
4-p4,2025-09-05T12:34:28.261290,station21,complete,station21,station21_TRANSFER,station21_TRANSFER
4-p4,2025-09-05T12:34:28.285957,station22_pass,start,station22_pass,station22_pass_PASS,station22_pass_PASS
3-p3,2025-09-05T12:34:28.548577,splitter5,complete,splitter5,splitter5_SCRAP,splitter5_SCRAP
4-p4,2025-09-05T12:34:31.607299,station22_pass,complete,station22_pass,station22_pass_TRANSFER,station22_pass_TRANSFER
2-p2,2025-09-05T12:34:32.235124,station51_pass,start,station51_pass,station51_pass_PASS,station51_pass_PASS
2-p2,2025-09-05T12:34:32.997678,station41,complete,station41,station41_TRANSFER,station41_TRANSFER
7-p7,2025-09-05T12:34:35.340630,station11,complete,station11,station11_TRANSFER,station11_TRANSFER
2-p2,2025-09-05T12:34:35.630467,station51_pass,complete,station51_pass,station51_pass_TRANSFER,station51_pass_TRANSFER
8-p8,2025-09-05T12:34:36.112380,station11,assign,station11,station11_LOAD,station11_LOAD
2-p2,2025-09-05T12:34:37.167738,station52,assign,station52,station52_LOAD,station52_LOAD
9-p9,2025-09-05T12:34:37.991162,corner2,start,corner2,corner2_START,corner2_START
7-p7,2025-09-05T12:34:38.185970,station21,assign,station21,station21_LOAD,station21_LOAD
4-p4,2025-09-05T12:34:38.738115,station31,assign,station31,station31_LOAD,station31_LOAD
8-p8,2025-09-05T12:34:39.566614,station11,start,station11,station11_PROCESS,station11_PROCESS
9-p9,2025-09-05T12:34:40.229363,corner2,complete,corner2,corner2_TRANSFER,corner2_TRANSFER
2-p2,2025-09-05T12:34:40.684796,station52,start,station52,station52_PROCESS,station52_PROCESS
10-p10,2025-09-05T12:34:41.175163,corner2,start,corner2,corner2_START,corner2_START
7-p7,2025-09-05T12:34:41.523090,station21,start,station21,station21_PROCESS,station21_PROCESS
4-p4,2025-09-05T12:34:42.005351,station31,start,station31,station31_PROCESS,station31_PROCESS
1-p1,2025-09-05T12:34:42.687431,station52_pass,start,station52_pass,station52_pass_PASS,station52_pass_PASS
10-p10,2025-09-05T12:34:43.383281,corner2,complete,corner2,corner2_TRANSFER,corner2_TRANSFER
1-p1,2025-09-05T12:34:43.752551,station51,complete,station51,station51_TRANSFER,station51_TRANSFER
11-p11,2025-09-05T12:34:44.342769,corner2,start,corner2,corner2_START,corner2_START
1-p1,2025-09-05T12:34:46.104294,station52_pass,complete,station52_pass,station52_pass_TRANSFER,station52_pass_TRANSFER
11-p11,2025-09-05T12:34:46.570668,corner2,complete,corner2,corner2_TRANSFER,corner2_TRANSFER
12-p12,2025-09-05T12:34:47.526584,corner2,start,corner2,corner2_START,corner2_START
6-p6,2025-09-05T12:34:49.647177,station21_pass,start,station21_pass,station21_pass_PASS,station21_pass_PASS
12-p12,2025-09-05T12:34:49.758741,corner2,complete,corner2,corner2_TRANSFER,corner2_TRANSFER
5-p5,2025-09-05T12:34:51.577663,station22,complete,station22,station22_TRANSFER,station22_TRANSFER
6-p6,2025-09-05T12:34:52.979862,station21_pass,complete,station21_pass,station21_pass_TRANSFER,station21_pass_TRANSFER
6-p6,2025-09-05T12:34:54.704610,station22,assign,station22,station22_LOAD,station22_LOAD
8-p8,2025-09-05T12:34:55.722422,station11,complete,station11,station11_TRANSFER,station11_TRANSFER
9-p9,2025-09-05T12:34:56.479173,station11,assign,station11,station11_LOAD,station11_LOAD
6-p6,2025-09-05T12:34:57.988188,station22,start,station22,station22_PROCESS,station22_PROCESS
8-p8,2025-09-05T12:34:58.542638,station21_pass,start,station21_pass,station21_pass_PASS,station21_pass_PASS
4-p4,2025-09-05T12:34:59.022772,station31,complete,station31,station31_TRANSFER,station31_TRANSFER
5-p5,2025-09-05T12:34:59.770930,station31,assign,station31,station31_LOAD,station31_LOAD
9-p9,2025-09-05T12:34:59.936580,station11,start,station11,station11_PROCESS,station11_PROCESS
4-p4,2025-09-05T12:35:00.835995,station41,assign,station41,station41_LOAD,station41_LOAD
8-p8,2025-09-05T12:35:01.857159,station21_pass,complete,station21_pass,station21_pass_TRANSFER,station21_pass_TRANSFER
5-p5,2025-09-05T12:35:03.151018,station31,start,station31,station31_PROCESS,station31_PROCESS
8-p8,2025-09-05T12:35:03.680088,station22_pass,start,station22_pass,station22_pass_PASS,station22_pass_PASS
4-p4,2025-09-05T12:35:04.315028,station41,start,station41,station41_PROCESS,station41_PROCESS
8-p8,2025-09-05T12:35:07.009411,station22_pass,complete,station22_pass,station22_pass_TRANSFER,station22_pass_TRANSFER
2-p2,2025-09-05T12:35:08.139600,station52,complete,station52,station52_TRANSFER,station52_TRANSFER
4-p4,2025-09-05T12:35:12.116296,station51,assign,station51,station51_LOAD,station51_LOAD
4-p4,2025-09-05T12:35:12.739835,station41,complete,station41,station41_TRANSFER,station41_TRANSFER
1-p1,2025-09-05T12:35:13.581250,station41,assign,station41,station41_LOAD,station41_LOAD
4-p4,2025-09-05T12:35:15.526319,station51,start,station51,station51_PROCESS,station51_PROCESS
1-p1,2025-09-05T12:35:17.121783,station41,start,station41,station41_PROCESS,station41_PROCESS
1-p1,2025-09-05T12:35:24.919627,station51_pass,start,station51_pass,station51_pass_PASS,station51_pass_PASS
1-p1,2025-09-05T12:35:25.378117,station41,complete,station41,station41_TRANSFER,station41_TRANSFER
7-p7,2025-09-05T12:35:26.282589,station22_pass,start,station22_pass,station22_pass_PASS,station22_pass_PASS
7-p7,2025-09-05T12:35:26.661136,station21,complete,station21,station21_TRANSFER,station21_TRANSFER
1-p1,2025-09-05T12:35:28.324408,station51_pass,complete,station51_pass,station51_pass_TRANSFER,station51_pass_TRANSFER
7-p7,2025-09-05T12:35:29.606032,station22_pass,complete,station22_pass,station22_pass_TRANSFER,station22_pass_TRANSFER
5-p5,2025-09-05T12:35:29.766455,station31,complete,station31,station31_TRANSFER,station31_TRANSFER
1-p1,2025-09-05T12:35:29.848682,station52,assign,station52,station52_LOAD,station52_LOAD
8-p8,2025-09-05T12:35:30.166847,station21,assign,station21,station21_LOAD,station21_LOAD
5-p5,2025-09-05T12:35:31.585963,station41,assign,station41,station41_LOAD,station41_LOAD
1-p1,2025-09-05T12:35:33.410721,station52,start,station52,station52_PROCESS,station52_PROCESS
8-p8,2025-09-05T12:35:33.589871,station21,start,station21,station21_PROCESS,station21_PROCESS
5-p5,2025-09-05T12:35:35.030719,station41,start,station41,station41_PROCESS,station41_PROCESS
2-p2,2025-09-05T12:35:35.851788,station41_pass,start,station41_pass,station41_pass_PASS,station41_pass_PASS
7-p7,2025-09-05T12:35:36.522381,station31,assign,station31,station31_LOAD,station31_LOAD
2-p2,2025-09-05T12:35:39.288671,station41_pass,complete,station41_pass,station41_pass_TRANSFER,station41_pass_TRANSFER
7-p7,2025-09-05T12:35:39.768020,station31,start,station31,station31_PROCESS,station31_PROCESS
4-p4,2025-09-05T12:35:42.678228,station52_pass,start,station52_pass,station52_pass_PASS,station52_pass_PASS
6-p6,2025-09-05T12:35:43.552749,station22,complete,station22,station22_TRANSFER,station22_TRANSFER
4-p4,2025-09-05T12:35:43.727431,station51,complete,station51,station51_TRANSFER,station51_TRANSFER
2-p2,2025-09-05T12:35:44.544431,station51_pass,start,station51_pass,station51_pass_PASS,station51_pass_PASS
4-p4,2025-09-05T12:35:46.094688,station52_pass,complete,station52_pass,station52_pass_TRANSFER,station52_pass_TRANSFER
5-p5,2025-09-05T12:35:46.725527,station41,complete,station41,station41_TRANSFER,station41_TRANSFER
9-p9,2025-09-05T12:35:47.287709,station11,complete,station11,station11_TRANSFER,station11_TRANSFER
2-p2,2025-09-05T12:35:47.945537,station51_pass,complete,station51_pass,station51_pass_TRANSFER,station51_pass_TRANSFER
10-p10,2025-09-05T12:35:48.043987,station11,assign,station11,station11_LOAD,station11_LOAD
5-p5,2025-09-05T12:35:48.774037,station51,assign,station51,station51_LOAD,station51_LOAD
2-p2,2025-09-05T12:35:49.495592,station52_pass,start,station52_pass,station52_pass_PASS,station52_pass_PASS
9-p9,2025-09-05T12:35:50.043545,station21_pass,start,station21_pass,station21_pass_PASS,station21_pass_PASS
10-p10,2025-09-05T12:35:51.503689,station11,start,station11,station11_PROCESS,station11_PROCESS
5-p5,2025-09-05T12:35:52.162746,station51,start,station51,station51_PROCESS,station51_PROCESS
2-p2,2025-09-05T12:35:52.904674,station52_pass,complete,station52_pass,station52_pass_TRANSFER,station52_pass_TRANSFER
9-p9,2025-09-05T12:35:53.365922,station21_pass,complete,station21_pass,station21_pass_TRANSFER,station21_pass_TRANSFER
9-p9,2025-09-05T12:35:55.079200,station22,assign,station22,station22_LOAD,station22_LOAD
7-p7,2025-09-05T12:35:57.114280,station31,complete,station31,station31_TRANSFER,station31_TRANSFER
6-p6,2025-09-05T12:35:57.865052,station31,assign,station31,station31_LOAD,station31_LOAD
9-p9,2025-09-05T12:35:58.366444,station22,start,station22,station22_PROCESS,station22_PROCESS
7-p7,2025-09-05T12:35:58.700009,station41,assign,station41,station41_LOAD,station41_LOAD
1-p1,2025-09-05T12:36:00.664397,station52,complete,station52,station52_TRANSFER,station52_TRANSFER
6-p6,2025-09-05T12:36:01.130134,station31,start,station31,station31_PROCESS,station31_PROCESS
7-p7,2025-09-05T12:36:02.108495,station41,start,station41,station41_PROCESS,station41_PROCESS
1-p1,2025-09-05T12:36:06.305927,station61,assign,station61,station61_LOAD,station61_LOAD
10-p10,2025-09-05T12:36:07.816714,station11,complete,station11,station11_TRANSFER,station11_TRANSFER
11-p11,2025-09-05T12:36:08.553051,station11,assign,station11,station11_LOAD,station11_LOAD
1-p1,2025-09-05T12:36:09.715506,station61,start,station61,station61_PROCESS,station61_PROCESS
7-p7,2025-09-05T12:36:09.872492,station51_pass,start,station51_pass,station51_pass_PASS,station51_pass_PASS
7-p7,2025-09-05T12:36:10.342612,station41,complete,station41,station41_TRANSFER,station41_TRANSFER
10-p10,2025-09-05T12:36:10.714394,station21_pass,start,station21_pass,station21_pass_PASS,station21_pass_PASS
11-p11,2025-09-05T12:36:11.968720,station11,start,station11,station11_PROCESS,station11_PROCESS
4-p4,2025-09-05T12:36:12.553440,station41,assign,station41,station41_LOAD,station41_LOAD
7-p7,2025-09-05T12:36:13.290625,station51_pass,complete,station51_pass,station51_pass_TRANSFER,station51_pass_TRANSFER
10-p10,2025-09-05T12:36:14.044319,station21_pass,complete,station21_pass,station21_pass_TRANSFER,station21_pass_TRANSFER
7-p7,2025-09-05T12:36:14.820451,station52,assign,station52,station52_LOAD,station52_LOAD
10-p10,2025-09-05T12:36:15.707870,station22_pass,start,station22_pass,station22_pass_PASS,station22_pass_PASS
4-p4,2025-09-05T12:36:16.110589,station41,start,station41,station41_PROCESS,station41_PROCESS
6-p6,2025-09-05T12:36:18.157983,station31,complete,station31,station31_TRANSFER,station31_TRANSFER
7-p7,2025-09-05T12:36:18.387478,station52,start,station52,station52_PROCESS,station52_PROCESS
10-p10,2025-09-05T12:36:19.017492,station22_pass,complete,station22_pass,station22_pass_TRANSFER,station22_pass_TRANSFER
5-p5,2025-09-05T12:36:20.357863,station52_pass,start,station52_pass,station52_pass_PASS,station52_pass_PASS
8-p8,2025-09-05T12:36:20.823834,station21,complete,station21,station21_TRANSFER,station21_TRANSFER
8-p8,2025-09-05T12:36:21.015390,station22_pass,start,station22_pass,station22_pass_PASS,station22_pass_PASS
5-p5,2025-09-05T12:36:21.189260,station51,complete,station51,station51_TRANSFER,station51_TRANSFER
5-p5,2025-09-05T12:36:23.794610,station52_pass,complete,station52_pass,station52_pass_TRANSFER,station52_pass_TRANSFER
4-p4,2025-09-05T12:36:23.805868,station51,assign,station51,station51_LOAD,station51_LOAD
8-p8,2025-09-05T12:36:24.332230,station22_pass,complete,station22_pass,station22_pass_TRANSFER,station22_pass_TRANSFER
4-p4,2025-09-05T12:36:24.504608,station41,complete,station41,station41_TRANSFER,station41_TRANSFER
2-p2,2025-09-05T12:36:25.336546,station41,assign,station41,station41_LOAD,station41_LOAD
4-p4,2025-09-05T12:36:27.277286,station51,start,station51,station51_PROCESS,station51_PROCESS
11-p11,2025-09-05T12:36:28.337454,station11,complete,station11,station11_TRANSFER,station11_TRANSFER
2-p2,2025-09-05T12:36:28.912113,station41,start,station41,station41_PROCESS,station41_PROCESS
12-p12,2025-09-05T12:36:29.081480,station11,assign,station11,station11_LOAD,station11_LOAD
6-p6,2025-09-05T12:36:29.736278,station41_pass,start,station41_pass,station41_pass_PASS,station41_pass_PASS
13-p13,2025-09-05T12:36:30.160618,corner2,start,corner2,corner2_START,corner2_START
11-p11,2025-09-05T12:36:31.065089,station21,assign,station21,station21_LOAD,station21_LOAD
8-p8,2025-09-05T12:36:31.707123,station31,assign,station31,station31_LOAD,station31_LOAD
13-p13,2025-09-05T12:36:32.389039,corner2,complete,corner2,corner2_TRANSFER,corner2_TRANSFER
12-p12,2025-09-05T12:36:32.513131,station11,start,station11,station11_PROCESS,station11_PROCESS
6-p6,2025-09-05T12:36:33.172468,station41_pass,complete,station41_pass,station41_pass_TRANSFER,station41_pass_TRANSFER
14-p14,2025-09-05T12:36:33.340090,corner2,start,corner2,corner2_START,corner2_START
11-p11,2025-09-05T12:36:34.403469,station21,start,station21,station21_PROCESS,station21_PROCESS
6-p6,2025-09-05T12:36:34.750818,station51_pass,start,station51_pass,station51_pass_PASS,station51_pass_PASS
8-p8,2025-09-05T12:36:34.974207,station31,start,station31,station31_PROCESS,station31_PROCESS
14-p14,2025-09-05T12:36:35.575108,corner2,complete,corner2,corner2_TRANSFER,corner2_TRANSFER
1-p1,2025-09-05T12:36:35.977138,station61,complete,station61,station61_TRANSFER,station61_TRANSFER
15-p15,2025-09-05T12:36:36.508591,corner2,start,corner2,corner2_START,corner2_START
6-p6,2025-09-05T12:36:38.163711,station51_pass,complete,station51_pass,station51_pass_TRANSFER,station51_pass_TRANSFER
1-p1,2025-09-05T12:36:38.273363,station71,assign,station71,station71_LOAD,station71_LOAD
15-p15,2025-09-05T12:36:38.752001,corner2,complete,corner2,corner2_TRANSFER,corner2_TRANSFER
16-p16,2025-09-05T12:36:39.711872,corner2,start,corner2,corner2_START,corner2_START
2-p2,2025-09-05T12:36:40.030475,station51_pass,start,station51_pass,station51_pass_PASS,station51_pass_PASS
2-p2,2025-09-05T12:36:40.505328,station41,complete,station41,station41_TRANSFER,station41_TRANSFER
1-p1,2025-09-05T12:36:41.592125,station71,start,station71,station71_PROCESS,station71_PROCESS
10-p10,2025-09-05T12:36:41.896442,station21_pass,start,station21_pass,station21_pass_PASS,station21_pass_PASS
16-p16,2025-09-05T12:36:41.938976,corner2,complete,corner2,corner2_TRANSFER,corner2_TRANSFER
2-p2,2025-09-05T12:36:43.442174,station51_pass,complete,station51_pass,station51_pass_TRANSFER,station51_pass_TRANSFER
9-p9,2025-09-05T12:36:43.653406,station22,complete,station22,station22_TRANSFER,station22_TRANSFER
10-p10,2025-09-05T12:36:45.233235,station21_pass,complete,station21_pass,station21_pass_TRANSFER,station21_pass_TRANSFER
7-p7,2025-09-05T12:36:45.846812,station52,complete,station52,station52_TRANSFER,station52_TRANSFER
6-p6,2025-09-05T12:36:46.692414,station52_pass,start,station52_pass,station52_pass_PASS,station52_pass_PASS
10-p10,2025-09-05T12:36:46.933879,station22,assign,station22,station22_LOAD,station22_LOAD
12-p12,2025-09-05T12:36:48.798533,station11,complete,station11,station11_TRANSFER,station11_TRANSFER
13-p13,2025-09-05T12:36:49.560224,station11,assign,station11,station11_LOAD,station11_LOAD
6-p6,2025-09-05T12:36:50.109291,station52_pass,complete,station52_pass,station52_pass_TRANSFER,station52_pass_TRANSFER
5-p5,2025-09-05T12:36:50.166887,station41,assign,station41,station41_LOAD,station41_LOAD
10-p10,2025-09-05T12:36:50.217792,station22,start,station22,station22_PROCESS,station22_PROCESS
2-p2,2025-09-05T12:36:50.930506,station52,assign,station52,station52_LOAD,station52_LOAD
1-p1,2025-09-05T12:36:51.003022,corner1,start,corner1,corner1_RETURN,corner1_RETURN
12-p12,2025-09-05T12:36:51.555691,station21_pass,start,station21_pass,station21_pass_PASS,station21_pass_PASS
1-p1,2025-09-05T12:36:51.787915,station71,complete,station71,station71_TRANSFER,station71_TRANSFER
8-p8,2025-09-05T12:36:52.120175,station31,complete,station31,station31_TRANSFER,station31_TRANSFER
17-p17,2025-09-05T12:36:52.844690,corner2,start,corner2,corner2_START,corner2_START
9-p9,2025-09-05T12:36:52.867936,station31,assign,station31,station31_LOAD,station31_LOAD
1-p1,2025-09-05T12:36:52.909493,corner1,complete,corner1,corner1_TRANSFER,corner1_TRANSFER
13-p13,2025-09-05T12:36:53.006600,station11,start,station11,station11_PROCESS,station11_PROCESS
5-p5,2025-09-05T12:36:53.560782,station41,start,station41,station41_PROCESS,station41_PROCESS
8-p8,2025-09-05T12:36:54.392331,station41_pass,start,station41_pass,station41_pass_PASS,station41_pass_PASS
2-p2,2025-09-05T12:36:54.518534,station52,start,station52,station52_PROCESS,station52_PROCESS
12-p12,2025-09-05T12:36:54.862344,station21_pass,complete,station21_pass,station21_pass_TRANSFER,station21_pass_TRANSFER
17-p17,2025-09-05T12:36:55.070011,corner2,complete,corner2,corner2_TRANSFER,corner2_TRANSFER
4-p4,2025-09-05T12:36:55.363960,station52_pass,start,station52_pass,station52_pass_PASS,station52_pass_PASS
4-p4,2025-09-05T12:36:55.364021,station51,complete,station51,station51_TRANSFER,station51_TRANSFER
9-p9,2025-09-05T12:36:56.224148,station31,start,station31,station31_PROCESS,station31_PROCESS
12-p12,2025-09-05T12:36:56.563583,station22_pass,start,station22_pass,station22_pass_PASS,station22_pass_PASS
8-p8,2025-09-05T12:36:57.840426,station41_pass,complete,station41_pass,station41_pass_TRANSFER,station41_pass_TRANSFER
4-p4,2025-09-05T12:36:58.799191,station52_pass,complete,station52_pass,station52_pass_TRANSFER,station52_pass_TRANSFER
8-p8,2025-09-05T12:36:59.393411,station51_pass,start,station51_pass,station51_pass_PASS,station51_pass_PASS
12-p12,2025-09-05T12:36:59.905841,station22_pass,complete,station22_pass,station22_pass_TRANSFER,station22_pass_TRANSFER
1-p1,2025-09-05T12:37:01.727467,splitter5,complete,splitter5,splitter5_FINISH,splitter5_FINISH
8-p8,2025-09-05T12:37:02.805330,station51_pass,complete,station51_pass,station51_pass_TRANSFER,station51_pass_TRANSFER
8-p8,2025-09-05T12:37:04.355439,station52_pass,start,station52_pass,station52_pass_PASS,station52_pass_PASS
4-p4,2025-09-05T12:37:05.900779,station61,assign,station61,station61_LOAD,station61_LOAD
8-p8,2025-09-05T12:37:07.777247,station52_pass,complete,station52_pass,station52_pass_TRANSFER,station52_pass_TRANSFER
4-p4,2025-09-05T12:37:09.271967,station61,start,station61,station61_PROCESS,station61_PROCESS
13-p13,2025-09-05T12:37:09.301592,station11,complete,station11,station11_TRANSFER,station11_TRANSFER
